userID,gender,age,city,state,membershipType,CreditScore,signUpDate,#_times_logged_in,avg_mins_logged_in,most_common_activityType,most_common_accountType,avg_#_of_activities_per_login,last_logged_in,days_since_login,most_recent_activity,most_recent_device_used,most_common_transaction_type,avg_income_payment,avg_days_between_login
108,Other,35,East Teresa,Nevada,Premium,757,2023-04-26,13,31,View Accounts,Student Loan,3,2023-09-14 21:15:51.000,74,Added Account,Mobile,Groceries,2651.03,11
1080,Male,18,Port Luisfort,Louisiana,Premium,740,2023-04-16,11,30,View Budget,Credit Card,3,2023-11-08 07:32:28.000,19,View Accounts,Mobile,Travel,2877.36,18
1081,Female,69,Port Christopherton,North Dakota,Premium,636,2022-04-14,16,26,Set Goal,Car Loan,4,2023-10-20 15:01:36.000,38,Turned off notifications,Mobile,Entertainment,2150.83,34
1082,Male,41,Port Kimberlyport,North Carolina,Premium,696,2023-10-04,23,35,Set Goal,Credit Card,3,2023-11-26 08:12:12.000,1,Added Account,Mobile,Travel,2625.97,2
1083,Female,37,Jessicaside,South Dakota,Premium,681,2023-01-28,24,34,Viewed Notifications,Credit Card,3,2023-11-13 12:20:15.000,14,Set Goal,Mobile,Groceries,1448.99,12
1084,Male,23,Pierceburgh,Oregon,Premium,610,2022-02-11,25,33,Viewed Notifications,Investments,3,2023-11-22 06:20:44.000,5,Added Account,Mobile,Travel,3354.44,26
1085,Female,68,Judymouth,New Mexico,Premium,755,2023-11-16,10,25,Set Goal,Credit Card,3,2023-11-26 20:09:20.000,1,View Goals,Mobile,Dining,2722.46,1
1086,Female,36,Christophertown,Minnesota,Premium,646,2023-09-12,17,28,View Goals,Investments,3,2023-11-26 13:32:37.000,1,Reviewed Transaction History,Mobile,Entertainment,2877.22,4
1087,Other,70,East Amanda,Arkansas,Premium,728,2023-06-11,16,40,Viewed Notifications,Student Loan,3,2023-11-25 22:04:24.000,2,Viewed Notifications,Mobile,Entertainment,3244.49,10
1088,Male,44,Parkerbury,Kansas,Free,687,2023-11-25,16,34,Added Account,Car Loan,3,2023-11-27 01:42:32.000,0,View Accounts,Mobile,Bills,2755.31,0
1089,Female,47,East Ryan,New York,Free,726,2022-11-23,4,21,View Goals,Investments,3,2023-06-20 22:20:12.000,160,Created Budget,Mobile,Travel,3573.06,67
109,Female,27,Kellyfurt,South Carolina,Premium,748,2022-10-21,25,34,Created Budget,Mortgage,3,2023-09-19 10:34:14.000,69,Added Account,Mobile,Bills,3228.84,13
1090,Male,21,Bryanport,Maryland,Premium,679,2022-05-30,9,31,Set Goal,Mortgage,3,2023-10-06 15:17:35.000,52,Added Account,Mobile,Groceries,2485.04,61
1091,Male,45,Matthewport,Connecticut,Premium,680,2023-07-09,16,29,Set Goal,Mortgage,3,2023-11-12 16:08:42.000,15,Set Goal,Mobile,Travel,3097.57,8
1092,Female,47,Timothystad,Louisiana,Free,648,2022-05-28,19,35,Checked Credit Score,Car Loan,3,2023-10-22 19:20:23.000,36,View Budget,Mobile,Dining,2511.07,28
1093,Female,47,Chapmanside,Arizona,Free,635,2023-09-23,11,32,View Budget,Student Loan,3,2023-11-19 13:09:49.000,8,Reviewed Transaction History,Desktop,Entertainment,3085.35,5
1094,Female,39,Melanieburgh,Idaho,Premium,688,2022-01-03,8,37,Added Account,Credit Card,3,2023-09-14 04:03:50.000,74,Set Goal,Desktop,Groceries,2721.11,87
1095,Male,38,Judymouth,New Mexico,Free,600,2022-06-10,14,32,Created Budget,Car Loan,3,2023-11-03 13:13:36.000,24,Checked Credit Score,Mobile,Bills,3585.14,35
1096,Male,38,East Teresa,Nevada,Free,773,2022-09-09,25,31,Checked Credit Score,Mortgage,3,2023-11-20 19:26:58.000,7,View Goals,Mobile,Dining,3092.4,16
1097,Male,26,Lake Amyfort,Arizona,Free,665,2023-06-18,1,53,Set Goal,Only Checking and Savings,5,2023-07-29 09:20:23.000,121,View Goals,Mobile,Income,2621.45,NULL
1098,Female,26,Hernandezfort,Vermont,Premium,670,2022-01-29,15,34,View Accounts,Credit Card,3,2023-11-04 22:02:57.000,23,View Accounts,Mobile,Dining,3419.19,44
1099,Female,47,Port Dannyfurt,Oregon,Premium,622,2023-03-08,17,35,Created Budget,Car Loan,3,2023-11-14 23:14:55.000,13,Viewed Notifications,Mobile,Income,2775.77,14
11,Other,46,Port Lisa,Alaska,Premium,753,2022-07-08,25,34,Viewed Notifications,Credit Card,3,2023-10-31 17:35:50.000,27,Created Budget,Mobile,Shopping,3212.78,19
110,Female,34,Parkerbury,Kansas,Premium,761,2023-05-22,17,35,Set Goal,Investments,3,2023-11-19 05:15:12.000,8,View Goals,Mobile,Bills,2764.84,10
1100,Female,67,Rhodeshaven,Colorado,Premium,768,2023-09-11,26,32,Checked Credit Score,Credit Card,3,2023-11-26 18:23:15.000,1,View Budget,Desktop,Shopping,2531.28,2
1101,Male,66,Bryanport,Maryland,Premium,689,2022-01-10,4,31,Viewed Notifications,Investments,3,2023-09-19 17:56:41.000,69,View Accounts,Mobile,Travel,2531.5,39
1102,Male,39,West Heather,New Jersey,Free,692,2023-05-02,28,34,View Accounts,Credit Card,3,2023-11-20 05:33:22.000,7,Set Goal,Mobile,Travel,2846.1,7
1103,Male,20,Danielbury,Vermont,Free,741,2021-12-18,25,34,Added Account,Student Loan,3,2023-11-16 05:37:51.000,11,Viewed Notifications,Mobile,Bills,3430.76,28
1104,Male,55,West Mathew,Kansas,Free,661,2022-10-29,28,33,Set Goal,Mortgage,3,2023-11-27 03:35:25.000,0,Checked Credit Score,Desktop,Groceries,4074.43,14
1105,Other,42,New Christy,Utah,Free,784,2023-02-06,18,29,View Budget,Student Loan,3,2023-11-22 19:35:56.000,5,Checked Credit Score,Mobile,Travel,2797.73,16
1106,Female,67,East Denise,New Jersey,Premium,760,2023-02-27,20,36,Viewed Notifications,Credit Card,3,2023-11-14 01:26:40.000,13,View Budget,Desktop,Dining,2535.78,13
1107,Female,21,Kristinfort,Nevada,Free,741,2022-09-17,27,32,Viewed Notifications,Car Loan,3,2023-11-25 08:42:35.000,2,View Budget,Mobile,Travel,3203.45,16
1108,Female,41,Port Christine,New Jersey,Premium,656,2021-12-02,14,38,View Budget,Car Loan,3,2023-11-13 14:40:07.000,14,Checked Credit Score,Mobile,Shopping,2411.89,47
1109,Male,27,Johnsonside,Delaware,Free,731,2023-03-19,20,32,Set Goal,Investments,3,2023-11-18 10:17:26.000,9,Viewed Notifications,Mobile,Bills,3535.87,11
111,Female,39,South Danielle,Wisconsin,Free,706,2022-05-18,30,35,Turned off notifications,Investments,3,2023-11-16 16:49:30.000,11,Turned off notifications,Mobile,Income,3215.52,18
1110,Other,47,Port Martin,Kentucky,Free,667,2022-08-02,29,32,Added Account,Investments,3,2023-11-12 21:22:21.000,15,View Accounts,Mobile,Dining,3573.12,15
1111,Female,41,Brandonhaven,Idaho,Premium,593,2023-10-17,10,41,Viewed Notifications,Car Loan,3,2023-11-23 09:11:45.000,4,Reviewed Transaction History,Mobile,Groceries,3516.21,4
1112,Female,54,South Shanebury,Hawaii,Free,592,2023-11-01,17,42,View Goals,Mortgage,3,2023-11-26 14:41:15.000,1,View Goals,Desktop,Shopping,3367.65,1
1113,Male,65,New Christy,Utah,Premium,648,2023-09-08,13,35,View Accounts,Investments,3,2023-11-26 21:19:30.000,1,Checked Credit Score,Desktop,Income,3225.06,6
1114,Other,43,Lake Kenneth,New Jersey,Premium,675,2022-03-31,28,33,Set Goal,Mortgage,3,2023-11-15 03:14:04.000,12,View Accounts,Mobile,Shopping,3080.6,22
1115,Other,45,Jerryborough,Indiana,Premium,790,2022-05-14,12,42,View Budget,Credit Card,3,2023-11-23 18:11:05.000,4,Viewed Notifications,Mobile,Bills,3412.78,45
1116,Male,61,Lisaburgh,Delaware,Premium,698,2023-10-04,9,26,Checked Credit Score,Only Checking and Savings,4,2023-11-21 05:57:33.000,6,View Budget,Mobile,Bills,2347.37,6
1117,Other,22,Pamelaside,South Dakota,Premium,725,2022-10-07,5,46,View Budget,Student Loan,2,2023-08-29 17:18:20.000,90,View Goals,Mobile,Shopping,2854.79,64
1118,Male,29,Palmermouth,New Hampshire,Premium,783,2022-04-25,19,33,View Accounts,Car Loan,3,2023-10-26 05:18:47.000,32,View Goals,Mobile,Shopping,3115.29,29
1119,Male,48,Gutierrezville,Oklahoma,Free,732,2022-05-03,14,31,Set Goal,Credit Card,3,2023-09-13 10:51:38.000,75,View Accounts,Mobile,Groceries,2604.83,37
112,Female,36,Mcclainhaven,Wyoming,Free,706,2022-08-19,26,29,Set Goal,Credit Card,3,2023-11-27 02:20:17.000,0,Turned off notifications,Mobile,Entertainment,2499.13,17
1120,Other,45,New Kimberly,Ohio,Free,695,2023-01-21,13,29,View Goals,Mortgage,3,2023-11-27 02:25:24.000,0,Viewed Notifications,Mobile,Shopping,3260.13,22
1121,Female,46,West Charleshaven,Illinois,Premium,632,2023-05-16,27,34,Turned off notifications,Student Loan,3,2023-11-14 14:28:08.000,13,Set Goal,Desktop,Shopping,2800.66,6
1122,Female,31,Simsstad,Idaho,Free,727,2022-01-01,13,32,Set Goal,Car Loan,3,2023-09-22 00:11:56.000,66,View Budget,Mobile,Bills,1716.71,49
1123,Other,34,Palmermouth,New Hampshire,Free,737,2023-04-15,10,32,Turned off notifications,Mortgage,4,2023-11-24 03:26:32.000,3,Created Budget,Mobile,Bills,3239.42,22
1124,Other,31,Laurenshire,New Jersey,Free,772,2023-04-26,2,43,Set Goal,Student Loan,4,2023-11-20 15:44:16.000,7,View Budget,Mobile,Groceries,3724.58,150
1125,Male,64,Port Sandra,Wisconsin,Premium,748,2023-04-22,26,34,Set Goal,Investments,3,2023-11-14 11:31:24.000,13,Added Account,Mobile,Groceries,2961.93,8
1126,Male,30,Lake Carolinefurt,Delaware,Premium,644,2023-07-27,20,30,Turned off notifications,Credit Card,3,2023-11-13 01:40:04.000,14,Viewed Notifications,Mobile,Bills,3182.65,5
1127,Male,45,Scottside,Kentucky,Free,690,2022-06-22,29,35,View Goals,Student Loan,3,2023-11-26 07:03:25.000,1,Created Budget,Desktop,Bills,2670.43,18
1128,Other,34,Sandychester,Kansas,Premium,650,2023-11-08,26,31,View Goals,Student Loan,4,2023-11-25 06:24:46.000,2,Checked Credit Score,Mobile,Bills,3458.79,0
1129,Male,41,Smithstad,New York,Premium,665,2022-09-01,20,35,View Accounts,Student Loan,3,2023-11-13 01:53:17.000,14,Checked Credit Score,Desktop,Bills,2911.42,22
113,Male,21,New Kathleenburgh,Massachusetts,Premium,735,2022-09-29,28,35,Checked Credit Score,Student Loan,3,2023-11-15 12:06:53.000,12,View Goals,Mobile,Shopping,3346.17,14
1130,Female,53,South Zachary,Louisiana,Free,707,2022-01-09,17,37,View Goals,Only Checking and Savings,3,2023-10-21 13:27:45.000,37,View Goals,Mobile,Income,3631.26,40
1131,Male,19,Jessicaside,South Dakota,Premium,735,2022-12-22,29,33,Turned off notifications,Credit Card,3,2023-11-23 16:45:18.000,4,Turned off notifications,Mobile,Bills,3064.79,11
